node,stake
1055,90956
1056,90919
1057,90893
1058,90881
1059,90880
1060,90727
1061,90562
1062,90538
1063,90483
1064,90464
1065,90457
1066,90440
1067,90396
1068,90370
1069,90304
1070,90241
1071,90241
1072,90170
1073,90099
1074,89923
1075,89665
1076,89665
1077,89632
1078,89561
1079,89538
1080,89503
1081,89369
1082,89282
1083,89175
1084,89128
1085,89108
1086,89100
1087,89072
1088,89009
1089,88955
1090,88877
1091,88872
1092,88799
1093,88791
1094,88739
1095,88731
1096,88730
1097,88725
1098,88693
1099,88683
1100,88624
1101,88521
1102,88493
1103,88485
1104,88477
1105,88397
1106,88385
1107,88385
1108,88323
1109,88316
1110,88307
1111,88299
1112,88296
1113,88257
1114,88257
1115,88257
1116,88256
1117,88254
1118,88053
1119,88044
1120,87965
1121,87962
1122,87921
1123,87921
1124,87921
1125,87919
1126,87883
1127,87877
1128,87860
1129,87853
1130,87822
1131,87798
1132,87784
1133,87740
1134,87560
1135,87548
1136,87524
1137,87494
1138,87476
1139,87438
1140,87434
1141,87433
1142,87431
1143,87423
1144,87422
1145,87396
1146,87390
1147,87386
1148,87385
1149,87385
1150,87385
1151,87349
1152,87115
1153,87103
1154,87097
1155,87088
1156,87060
1157,87053
1158,87051
1159,87050
1160,87020
1161,87001
1162,86962
1163,86950
1164,86950
1165,86950
1166,86950
1167,86949
1168,86913
1169,86869
1170,86801
1171,86691
1172,86614
1173,86513
1174,86513
1175,86509
1176,86507
1177,86283
1178,86266
1179,86249
1180,86227
1181,86219
1182,86218
1183,86217
1184,86179
1185,86134
1186,86129
1187,85814
1188,85794
1189,85779
1190,85757
1191,85744
1192,85743
1193,85706
1194,85421
1195,85387
1196,84872
1197,84828
1198,84766
1199,84758
1200,84658
1201,84224
1202,84192
1203,84170
1204,84121
1205,84048
1206,84033
1207,83825
1208,83646
1209,83530
1210,83493
1211,83491
1212,83490
1213,83454
1214,83237
1215,83002
1216,82973
1217,82726
1218,82725
1219,82725
1220,82719
1221,82695
1222,82692
1223,82689
1224,82688
1225,82686
1226,82686
1227,82686
1228,82686
1229,82686
1230,82650
1231,82559
1232,82557
1233,82185
1234,81989
1235,81987
1236,81757
1237,81697
1238,81335
1239,81316
1240,80605
1241,80181
1242,79686
1243,79579
1244,79315
1245,79302
1246,79287
1247,79265
1248,79265
1249,79263
1250,79263
1251,79263
1252,79263
1253,79026
1254,78982
1255,78875
1256,78403
1257,78353
1258,78298
1259,78220
1260,78118
1261,77994
1262,77993
1263,77966
1264,77966
1265,77966
1266,77755
1267,77578
1268,77430
1269,77385
1270,77198
1271,77070
1272,77046
1273,76978
1274,76619
1275,76273
1276,75963
1277,75931
1278,75860
1279,75638
1280,75440
1281,75217
1282,75037
1283,74915
1284,74815
1285,74749
1286,74597
1287,74580
1288,74580
1289,74579
1290,74444
1291,74322
1292,74310
1293,74268
1294,74246
1295,74162
1296,74029
1297,73629
1298,73348
1299,73306
1300,70653
1301,70347
1302,69447
1303,66461
1304,66369
1305,66354
1306,66353
1307,66350
1308,66349
1309,66348
1310,66348
1311,66348
1312,66346
1313,66346
1314,66346
1315,66346
1316,66346
1317,66345
1318,66345
1319,66345
1320,66028
1321,65992
1322,65983
1323,65978
1324,65978
1325,65973
1326,65969
1327,65968
1328,65968
1329,65967
1330,65967
1331,65966
1332,65966
1333,65966
1334,65966
1335,65966
1336,65965
1337,65965
1338,65965
1339,65965
1340,65965
1341,65965
1342,65965
1343,65965
1344,65965
1345,65965
1346,65965
1347,65965
1348,65965
1349,65965
1350,65965
1351,65965
1352,65965
1353,65965
1354,65965
1355,65965
1356,65965
1357,65965
1358,65965
1359,65965
1360,65965
1361,65965
1362,65965
1363,65965
1364,65964
1365,65964
1366,65964
1367,65964
1368,65964
1369,65964
1370,65964
1371,65964
1372,65964
1373,65964
1374,65964
1375,65964
1376,65964
1377,65964
1378,65964
1379,65964
1380,65964
1381,65964
1382,65964
1383,65964
1384,65964
1385,65964
1386,65964
1387,65964
1388,65964
1389,65963
1390,65962
1391,65961
1392,65960
1393,65954
1394,65948
1395,65947
1396,65946
1397,65945
1398,65945
1399,65945
1400,65945
1401,65945
1402,65945
1403,65945
1404,64766
1405,64021
1406,64018
1407,61437
1408,60481
1409,59056
1410,57418
1411,56302
1412,56038
1413,56033
1414,54489
1415,53779
1416,52305
1417,51582
1418,50500
1419,49387
1420,49094
1421,46829
1422,46446
1423,45000
1424,44331
1425,43985
1426,43583
1427,42451
1428,42444
1429,41829
1430,41284
1431,41241
1432,40819
1433,38902
1434,36033
1435,31978
1436,31878
1437,31337
1438,31150
1439,30234
1440,30204
1441,29060
1442,27965
1443,27024
1444,25219
1445,25216
1446,25179
1447,25176
1448,25176
1449,25175
1450,25175
1451,25175
1452,25174
1453,25174
1454,25174
1455,25174
1456,25131
1457,25128
1458,25128
1459,25126
1460,25126
1461,25125
1462,25125
1463,25125
1464,25125
1465,25125
1466,25125
1467,25125
1468,25125
1469,25125
1470,25125
1471,25125
1472,25125
1473,25125
1474,25124
1475,25124
1476,25124
1477,25124
1478,25124
1479,25124
1480,25124
1481,25122
1482,25114
1483,25114
1484,25114
1485,25113
1486,25100
1487,21474
1488,20613
1489,16541
1490,16350
1491,13499
1492,12662
1493,12559
1494,9562
1495,9030
1496,7052
1497,5536
1498,5019
1499,5002
1500,3464
1501,2192
1502,1239
1503,1223
1504,1001
1505,969
1506,710
1507,667
1508,597
1509,375
1510,201
1511,174
1512,168
1513,166
1514,154
1515,151
1516,149
1517,141
1518,131
1519,124
1520,117
1521,109
1522,108
1523,107
1524,105
1525,104
1526,104
1527,104
1528,104
1529,103
1530,103
1531,102
1532,102
1533,102
1534,102
1535,102
1536,102
1537,102
1538,101
1539,101
1540,101
1541,101
1542,101
1543,101
1544,101
1545,101
1546,101
1547,100
1548,100
1549,100
1550,100
1551,87
1552,83
1553,81
1554,79
1555,78
1556,78
1557,78
1558,76
1559,75
1560,74
1561,74
1562,74
1563,73
1564,73
1565,70
1566,68
1567,63
1568,56
1569,51
1570,40
1571,35
1572,32
1573,30
1574,17
1575,16
1576,11
1577,11
1578,10
1579,10
1580,9
1581,8
1582,7
1583,6
1584,5
1585,4
1586,2
1587,2
1588,1
1589,1
1590,1
1591,1
1592,1
1593,1
1594,0
1595,0
1596,0
