node,stake
1323,6397768
1324,2456893
1325,799745
1326,699099
1327,594079
1328,1824595
1329,6736442
1330,6743838
1331,6738521
1332,6743283
1333,2144422
1334,671020
1335,6433532
1336,1993493
1337,2389767
1338,4019111
1339,768161
1340,1861355
1341,5428687
1342,2183942
1343,5716197
1344,2375325
1345,6334844
1346,6309534
1347,6367637
1348,6400000
1349,6354242
1350,6400000
1351,6394601
1352,6395570
1353,6400000
1354,6398522
1355,6377871
1356,6400000
1357,6353890
1358,6400000
1359,6400000
1360,6299969
1361,6299969
1362,6199939
1363,6391132
1364,615073
1365,2683042
1366,5004474
1367,5004725
1368,2516776
1369,6282705
1370,6010503
1371,6481892
1372,5003971
1373,5028142
1374,6499736
1375,5188626
1376,6476746
1377,6526826
1378,6432861
1379,6573181
1380,6589168
1381,5005226
1382,2590665
1383,5633706
1384,6047035
1385,6500000
1386,6500096
1387,6310015
1388,6500004
1389,5821807
1390,6476537
1391,6489408
1392,6502409
1393,6432859
1394,1003234
1395,1263339
